iter	Passed	Remaining
0	158	157974
1	159	79363
2	160	53256
3	161	40144
4	161	32236
5	163	27006
6	164	23397
7	165	20557
8	166	18358
9	168	16634
10	169	15216
11	172	14192
12	174	13269
13	176	12422
14	177	11653
15	178	10967
16	180	10430
17	181	9907
18	182	9422
19	184	9029
20	186	8716
21	189	8423
22	191	8131
23	192	7832
24	193	7561
25	195	7321
26	196	7093
27	198	6894
28	200	6725
29	202	6533
30	203	6355
31	204	6184
32	205	6020
33	206	5863
34	207	5733
35	210	5625
36	211	5501
37	213	5398
38	215	5317
39	217	5218
40	218	5116
41	219	5018
42	221	4938
43	223	4851
44	224	4766
45	225	4686
46	227	4603
47	228	4536
48	231	4486
49	232	4421
50	233	4352
51	235	4294
52	236	4229
53	239	4192
54	240	4133
55	241	4077
56	243	4020
57	243	3962
58	245	3911
59	246	3860
60	247	3809
61	248	3759
62	249	3709
63	250	3669
64	252	3630
65	254	3598
66	257	3591
67	259	3550
68	260	3519
69	262	3489
70	264	3454
71	265	3418
72	266	3387
73	268	3354
74	272	3357
75	274	3338
76	276	3309
77	278	3292
78	280	3270
79	282	3246
80	283	3221
81	285	3197
82	286	3168
83	288	3147
84	289	3117
85	291	3100
86	293	3079
87	295	3061
88	298	3060
89	301	3047
90	302	3026
91	304	3002
92	305	2977
93	310	2992
94	311	2967
95	313	2953
96	314	2931
97	316	2912
98	323	2947
99	326	2935
100	329	2931
101	329	2904
102	331	2886
103	332	2866
104	334	2847
105	335	2827
106	337	2815
107	338	2794
108	341	2795
109	344	2784
110	347	2780
111	350	2778
112	357	2806
113	361	2809
114	363	2793
115	365	2785
116	371	2804
117	375	2809
118	379	2811
119	386	2835
120	390	2839
121	392	2824
122	393	2808
123	396	2799
124	402	2817
125	406	2817
126	409	2813
127	409	2792
128	414	2799
129	421	2818
130	424	2813
131	427	2807
132	433	2825
133	440	2844
134	447	2868
135	453	2877
136	458	2890
137	462	2891
138	466	2892
139	468	2876
140	469	2860
141	470	2844
142	476	2857
143	484	2877
144	491	2898
145	497	2909
146	499	2895
147	502	2892
148	508	2905
149	511	2900
150	516	2904
151	522	2917
152	525	2911
153	527	2897
154	529	2885
155	531	2875
156	533	2862
157	538	2872
158	543	2876
159	547	2875
160	549	2861
161	550	2849
162	556	2858
163	560	2854
164	562	2848
165	565	2840
166	568	2836
167	569	2821
168	571	2809
169	573	2798
170	574	2786
171	575	2772
172	581	2778
173	587	2787
174	590	2781
175	594	2781
176	596	2771
177	597	2758
178	598	2744
179	600	2736
180	601	2723
181	604	2715
182	606	2706
183	607	2694
184	610	2690
185	612	2681
186	614	2671
187	616	2662
188	618	2654
189	621	2650
190	623	2639
191	624	2628
192	627	2623
193	628	2611
194	630	2602
195	631	2591
196	632	2580
197	637	2581
198	641	2583
199	647	2591
200	649	2581
201	650	2570
202	651	2559
203	653	2548
204	654	2536
205	655	2528
206	657	2517
207	662	2523
208	664	2513
209	665	2503
210	666	2493
211	668	2485
212	671	2481
213	678	2490
214	680	2485
215	682	2475
216	688	2483
217	690	2477
218	692	2471
219	694	2463
220	699	2467
221	701	2457
222	702	2447
223	703	2436
224	704	2427
225	706	2417
226	708	2413
227	710	2404
228	712	2397
229	714	2393
230	717	2388
231	719	2381
232	720	2372
233	723	2369
234	725	2361
235	726	2352
236	730	2352
237	732	2344
238	735	2340
239	739	2340
240	740	2333
241	742	2326
242	746	2325
243	747	2317
244	749	2310
245	753	2310
246	755	2303
247	758	2299
248	760	2293
249	762	2286
250	767	2288
251	769	2283
252	771	2276
253	772	2269
254	773	2261
255	778	2263
256	784	2268
257	786	2263
258	790	2261
259	795	2263
260	801	2268
261	804	2266
262	806	2258
263	807	2250
264	811	2249
265	814	2247
266	819	2250
267	826	2256
268	828	2251
269	829	2243
270	835	2248
271	841	2253
272	843	2245
273	844	2238
274	846	2232
275	849	2228
276	854	2230
277	856	2224
278	859	2219
279	860	2213
280	864	2211
281	870	2215
282	871	2208
283	872	2200
284	874	2193
285	875	2186
286	881	2190
287	884	2186
288	887	2182
289	888	2176
290	890	2169
291	892	2164
292	894	2158
293	896	2152
294	897	2145
295	899	2138
296	900	2131
297	902	2125
298	904	2119
299	905	2112
300	907	2106
301	908	2099
302	910	2093
303	912	2088
304	913	2081
305	917	2080
306	918	2074
307	922	2072
308	926	2072
309	927	2065
310	932	2066
311	936	2064
312	941	2067
313	946	2067
314	948	2062
315	951	2059
316	955	2057
317	957	2052
318	958	2046
319	961	2042
320	962	2036
321	964	2031
322	966	2024
323	967	2018
324	971	2018
325	973	2012
326	975	2007
327	978	2005
328	980	2000
329	983	1995
330	984	1989
331	988	1988
332	990	1983
333	992	1979
334	994	1973
335	995	1968
336	999	1965
337	1001	1961
338	1007	1964
339	1009	1958
340	1012	1956
341	1019	1962
342	1022	1958
343	1023	1952
344	1025	1946
345	1026	1941
346	1032	1942
347	1037	1943
348	1041	1943
349	1045	1941
350	1049	1939
351	1054	1940
352	1056	1936
353	1062	1938
354	1063	1933
355	1068	1932
356	1070	1927
357	1073	1925
358	1077	1924
359	1083	1925
360	1087	1924
361	1088	1919
362	1090	1914
363	1094	1912
364	1096	1907
365	1098	1903
366	1103	1903
367	1105	1898
368	1112	1903
369	1117	1902
370	1119	1898
371	1125	1900
372	1128	1897
373	1130	1892
374	1132	1886
375	1135	1884
376	1142	1887
377	1144	1883
378	1148	1882
379	1155	1885
380	1159	1883
381	1160	1877
382	1166	1878
383	1170	1878
384	1173	1874
385	1175	1869
386	1181	1871
387	1186	1871
388	1188	1866
389	1190	1861
390	1197	1864
391	1199	1860
392	1201	1855
393	1205	1854
394	1207	1849
395	1209	1844
396	1210	1839
397	1215	1838
398	1218	1834
399	1220	1831
400	1223	1828
401	1227	1826
402	1229	1821
403	1234	1821
404	1237	1817
405	1238	1812
406	1240	1807
407	1243	1804
408	1247	1802
409	1250	1799
410	1252	1794
411	1256	1793
412	1263	1795
413	1265	1791
414	1270	1791
415	1276	1791
416	1279	1788
417	1282	1785
418	1288	1786
419	1293	1786
420	1295	1781
421	1297	1777
422	1305	1780
423	1309	1779
424	1312	1775
425	1315	1771
426	1317	1768
427	1321	1766
428	1323	1761
429	1325	1757
430	1329	1754
431	1337	1759
432	1343	1759
433	1346	1756
434	1351	1755
435	1354	1751
